text,label
" Nhân tài… đến rồi đi Trong cuộc khảo sát nhanh với nhiều bạn thủ khoa tốt nghiệp đại học năm 2004 và 2005, tất cả đều muốn “vào làm việc trong các cơ quan nhà nước”. 
 Nhưng thực tế: đa số họ hiện đang làm ở các cơ quan... ngoài nhà nước. 
 Thủ khoa ngành y tế cộng đồng (Đại học Y HN-năm 2004) Ngô Thị Thanh Hương bộc bạch: “Quê tôi ở Thái Bình, nên quả thực là sau khi ra trường tôi rất mong muốn có một lời mời nào đó từ phía các cơ quan nhà nước trên địa bàn HN, và tôi đã nộp hồ sơ.  
 Nhưng các cơ quan phù hợp với chuyên ngành của tôi trả lời rằng họ sẵn sàng chấp hành nghiêm túc chính sách thu hút nhân tài của cấp trên, nhưng hiện nay...chưa có chỉ tiêu.  
 Tôi có hỏi ý kiến thầy giáo của mình thì thầy nói rằng y tế cộng đồng là một ngành học mới, vì thế khó có thể nói thủ đô không có nhu cầu về nhân sự trong lĩnh vực này”.  
 Bạn Thanh Hương cho biết sau một thời gian ngắn “thăng hoa” với danh hiệu thủ khoa, bạn đã nhanh chóng rơi vào tình trạng... bơ vơ vì chưa tìm được việc làm.  
 “Một số cơ quan ở quê tôi ngỏ ý sẵn sàng tiếp nhận tôi về công tác, nhưng sau khi tìm hiểu kỹ những lời ngỏ ấy thì tôi biết rằng để được vào làm chính thức ở đó tôi cũng sẽ phải làm rất nhiều động tác khác chứ không thể trông cậy vào mỗi tấm bằng đỏ”– Hương nói.  
 Cuối cùng Thanh Hương đành từ bỏ ước mơ “nhập hộ khẩu Hà Nội theo chính sách thu hút nhân tài”, hiện bạn đang làm việc cho một dự án nước ngoài với môi trường làm việc và mức lương theo bạn là “rất thỏa đáng”.  
 Thủ khoa Trần Hà Trang (Học viện quan hệ Quốc tế (HVQHQT) tốt nghiệp năm 2005) cũng khẳng định: “Nếu có cơ hội lựa chọn làm việc giữa một cơ quan nhà nước hoặc Cty nước ngoài trả lương cao gấp 2- 5 lần, tôi sẽ chọn làm công chức nhà nước”.  
 Sau khi tốt nghiệp, Hà Trang đã nộp hồ sơ vào Bộ Ngoại giao (thông thường các thủ khoa tốt nghiệp HVQHQT sẽ được tuyển thẳng vào làm việc tại Bộ Ngoại giao). Tuy nhiên do hàng năm số thủ khoa tốt nghiệp HVQHQT rất ít, nên Hà Trang vẫn đang phải... chờ tới đợt tuyển dụng chung của Bộ Ngoại giao.  
 Trong thời gian chờ việc với tâm trạng “phập phồng”, Trang phải tự tìm cho mình những việc làm tạm thời. Đầu tiên, Hà Trang được bạn bè giới thiệu vào làm nhân viên văn phòng ở một Cty tư nhân với thu nhập khá khiêm tốn. Không lâu sau, Hà Trang lại “nhảy cóc” sang làm thư ký cũng ở một Cty tư nhân chuyên về lĩnh vực điện tử (chẳng liên quan gì đến những kiến thức đã được học trong nhà trường)...  
 Tốt nghiệp thủ khoa đại học cùng trường và cùng khoá với Hà Trang, bạn Nguyễn Thị Hương Giang từ bỏ cơ hội công tác ở Bộ Ngoại giao. Hiện Giang đang làm trong ban chuyên đề kinh tế một tờ báo điện tử, và những gì Giang đang làm dường như không liên quan gì đến kiến thức mà bạn đã được học ở nhà trường.  
 Giải thích lý do tại sao cơ quan nhà nước không hấp dẫn mình, Hương Giang thẳng thắn nói: “Tôi rất ngại làm việc trong môi trường cơ quan nhà nước, bởi sự trì trệ và thu nhập hàng tháng không đủ sống”.  
 Chúng tôi có thể kể ra đây nhiều trường hợp khác của các bạn thủ khoa đã phải vất vả khi tìm kiếm việc làm: bạn H.H (thủ khoa Đại học Văn hóa Hà Nội, chuyên ngành quản lý văn hóa-năm 2005), sau khi tốt nghiệp H đã xin việc ở nhiều cơ quan trên địa bàn HN nhưng câu trả lời thường là “hiện chúng tôi chưa có chỉ tiêu”.  
 Không thể tiếp tục cuộc sống tạm bợ ở thủ đô để chờ đợi H đã phải... lui về quê để làm nhân viên hợp đồng trong một trung tâm văn hoá cấp quận ở Hải Phòng.  
 H còn cho biết, do việc “gõ cửa” các cơ quan nhà nước khó quá nên có một thủ khoa của trường ĐHVHHN đã chọn cách lập nghiệp đơn giản hơn là vào làm trong Cty nước ngoài.  
 Bạn P.Đ.T (thủ khoa tốt nghiệp đại học Dược HN) từ khi ra trường đến nay chưa hề nhận được “lời mời” nào của các cơ quan nhà nước. Cuối cùng P.Đ.T đã phải tự tìm cho mình công việc ở một Cty dược nước ngoài.  
 P.Đ.T tâm sự với chúng tôi, khi mới ra trường niềm khao khát là được cống hiến trong một cơ quan nhà nước, nhưng bây giờ nếu có một cơ quan nhà nước nào mời về làm việc chắc chắn sẽ từ chối.  
 Hỏi lý do, T chỉ cười... Còn N.T một thủ khoa sau nhiều lần nộp hồ sơ mà không xin được việc làm nói thẳng: Nếu như không có cái “mác” thủ khoa thì cơ hội xin việc của tôi có thể còn dễ hơn!!!?  
 Chính sách chưa đi vào cuộc sống  
 “Chúng tôi có cảm giác là chính sách thu hút tài năng trẻ của nhà nước vẫn đang nằm trên giấy mà chưa thực sự đi vào cuộc sống”, thủ khoa Thanh Hương nhận xét, bạn P.Đ.T cũng chia sẻ quan điểm này.  
 Còn bạn Hương Giang thì đưa ra đề nghị rằng Nhà nước không nên chỉ đưa ra các chính sách chung chung, mà phải có sự giám sát việc thực hiện chính sách đó, “Quan trọng nhất là việc quán triệt các chính sách đó đối với các cơ quan thực thi chính sách thu hút nhân tài”, Hương Giang nói.  
 Ông Nguyễn Khắc Phong, Trưởng phòng Chính trị và công tác học sinh, sinh viên trường ĐH ngoại ngữ (ĐH Quốc gia Hà Nội-một trong những nơi hàng năm có số thủ khoa tốt nghiệp đại học nhiều nhất) cho rằng: “Vấn đề thu hút nhân tài vào bộ máy công quyền là cực kỳ quan trọng với đất nước. Để làm được điều đó chúng ta cần phải có chính sách đãi ngộ đặc biệt đối nhân tài. Với kiểu chính sách và hô hào chung chung như hiện nay thì rất khó để dung nạp tài năng trẻ”. Theo ông Phong và trưởng phòng đào tạo của nhiều trường đại học khác, những sinh viên tốt nghiệp thủ khoa đại học là những người có kiến thức nền rất tốt. Vấn đề còn lại là Nhà nước phải bắt tay để phát huy những “cái nền” vững chắc này...  
  
 ",Chinhtrixahoi
"Tử hình Lâm Bích Thủy và Toàn '6 Ngón'  
 Hôm nay, TAND TP HCM đã tuyên án đối với 11 bị cáo trong vụ sát hại cán bộ Thảo Cầm Viên. Theo đó, HĐXX đã tuyên phạt Lâm Bích Thủy và Toàn ""6 Ngón"" (tức Đỗ Công Toàn) cùng chung mức án tử hình; Lâm Thanh Phong, Nguyễn Anh Tuấn chung thân về tội giết người. 
 Ngoài ra, các bị cáo khác gồm Lê Ngọc Minh, Nguyễn Ngọc Tú, Nguyễn Thành Long, Nguyễn Xuân Vũ, Lê Bá Long, Trương Anh Tuấn, Lâm Ngọc Hải mức án từ 2 năm đến 20 năm tù giam về các tội không tố giác tội phạm, che giấu tội phạm và giết người. 
 HĐXX nhận định: Đây là một vụ án có tính chất dã man, tàn ác. Bắt nguồn từ những suy nghĩ chủ quan, tình cảm đặt không đúng chỗ, Lâm Bích Thủy đã bàn bạc để em trai mình là Lâm Thanh Phong nhờ người đánh ""dằn mặt"" anh Đặng Vũ Thắng, dẫn đến cái chết đau thương của nạn nhân. Lâm Bích Thủy là kẻ chủ mưu, hậu quả thương tâm của vụ án phải buộc bị cáo chịu trách nhiệm đầu tiên. Đỗ Công Toàn là tay sai, núp bóng Trà ""Hinh"" sẵn sàng ra tay tàn ác. Với những hành vi phạm tội của mình, Lâm Bích Thủy và Đỗ Công Toàn cần phải được loại vĩnh viễn ra khỏi xã hội bằng mức hình phạt cao nhất. 
 Đối với Lâm Thanh Phong, xét tới hoàn cảnh sống khó khăn, thiếu thốn từ nhỏ, hai chị em cùng bị xét xử trong một vụ án nên cần áp dụng chính sách khoan hồng của Nhà nước, cho Phong được hưởng mức án chung thân. Tên Nguyễn Anh Tuấn (tức Tuấn ""Con"") là kẻ thừa hành lệnh của Trà ""Hinh"", chỉ đạo trực tiếp tại hiện trường đáng ra phải lãnh mức án cao nhất nhưng xét bị cáo có công khai báo giúp cơ quan điều tra phá án nên áp dụng chính sách khoan hồng tha tội chết cho Tuấn. 
 Ngoài ra, HĐXX cũng đồng thời ""nhắc nhở"" ông Nguyễn Quốc Thắng (nguyên giám đốc Thảo cầm viên Sài Gòn) về thái độ bàng quan đối với việc quản lý nhân viên. Trong thời gian còn đương chức, ông Thắng đã không có biện pháp gì ngăn chặn những mâu thuẫn nội bộ trong cơ quan mình phụ trách. Cái chết của anh Đặng Vũ Thắng cũng có một phần xuất phát từ sự thờ ơ đó. 
 Bắt thêm một người tham gia giết anh Đặng Vũ Thắng(14/08/2003) 
 Có thể khởi tố vụ tham nhũng tại Thảo Cầm Viên Sài Gòn(01/08/2003) 
 Bắt thủ phạm giết phó Phòng Kế toán Thảo Cầm Viên(29/07/2003) 
 Có thêm bằng chứng buộc tội đàn em Năm Cam(10/09/2002) 
 Bắt một giám đốc liên quan tới xã hội đen TP HCM(07/06/2002) 
  
 ",Khac
" Dùng ống chích tống tiền 1 tỉ đồng Tối 19-12, Cảnh sát điều tra tội phạm về trật tự xã hội, Công an tỉnh Sơn La đã phục kích bắt quả tang đối tượng Dương Văn Dũng (sinh 1982, Ý Yên, Nam Định) trong khi đang nhận hơn 300 triệu đồng của Nguyễn Hữu Đoàn, chủ doanh nghiệp Trung Liên. 
 Đây chỉ là một phần trong tổng số tiền 1 tỉ đồng mà Dũng cùng đồng bọn đòi doanh nhân này phải trả.  
 Tại cơ quan điều tra Dũng khai nhận đã cùng Phạm Tuấn Oanh (sinh 1962, Chiềng Sơn, Mộc Châu, Sơn La) đi mua ống chích, rồi dùng phẩm đỏ cho vào ống chích để uy hiếp những doanh nhân giàu có trong tỉnh. Trưa 13-12, Dũng và Tuấn Oanh đã bất ngờ chọc kim tiêm có chứa phẩm đỏ trong ống chích vào người ông Đoàn rồi bỏ chạy. Ngay sau đó ông Đoàn liên tiếp nhận được nhiều cuộc gọi từ ba số điện thoại khác nhau với lời đe dọa kim tiêm có nhiễm máu HIV. Theo đó, ông Đoàn phải trả chúng 1 tỉ đồng nếu không muốn người nhà tiếp tục là nạn nhân, đồng thời cơ sở sản xuất của ông Đoàn cũng sẽ bị đặt bom nếu Dũng và Oanh không nhận được tiền. Ngay sau khi thỏa thuận với đối tượng số tiền phải trả để bảo vệ tính mạng cho gia đình, ông Đoàn đã trình báo với cơ quan công an.  
  
 ",Khac
"Mekong Capital tăng đầu tư vào VN 
 Ông Chris Freund, Giám đốc điều hành Công ty Mekong Capital, cho VnExpress biết, quỹ doanh nghiệp Mekong hôm qua thông qua khoản đầu tư thứ 5 tại Việt Nam trị giá 900.000 USD cho Công ty cổ phần sản xuất thương mại Nam Hoa. 
 Doanh nghiệp Nam Hoa hiện chủ yếu sản xuất và xuất khẩu các mặt hàng đồ chơi trẻ em bằng gỗ như: đồ chơi dạy học, đồ chơi phát triển trí tuệ, và đồ dùng cho trẻ em. Thị trường nhập khẩu của đơn vị này có Nhật Bản, Hàn Quốc, Mỹ và châu Âu. 
 Theo ông Chris, sự cam kết của Nam Hoa về chất lượng, mức độ an toàn của sản phẩm và đảm bảo hài lòng khách hàng là cơ sở để Mekong Capital đầu tư tiền vào doanh nghiệp này. Các khoản đầu tư của quỹ Mekong - thuộc Công ty Mekong Capital - vào các công ty cổ phần đều nhằm mục đích giúp doanh nghiệp mở rộng thị phần, tăng cường đội ngũ quản lý, ông nói. 
 Quỹ doanh nghiệp Mekong với nguồn vốn 18,5 triệu USD là quỹ đầu tư mạo hiểm đầu tiên tập trung chủ yếu vào việc mua cổ phần của các doanh nghiệp tư nhân tại Việt Nam, Lào và Campuchia. Tham gia quỹ, có Ngân hàng phát triển châu Á (ADB), Quỹ phát triển Phần Lan (NDF), Tổ chức Nhà nước về các quan hệ kinh tế Thuỵ Sỹ (SECO), và một số cổ đông khác. 
 Thành lập tháng 4/2002, đến nay, quỹ này đã đầu tư vào các công ty cổ phần đang hoạt động ở Việt Nam: nhựa Tân Đại Hưng, kiến trúc AA, tin học Lạc Việt, Ngô Han. 
  
 ",Khac
"Tàu hoả húc xe tải gây ách tắc hơn 9 giờ 
 Đoàn tàu D2 từ Sài Gòn ra Đà Nẵng đã húc phải một xe tải Kamaz tại Km 1264 trên đường sắt thuộc huyện Vạn Ninh, tỉnh Khánh Hòa. Xe tải hư hại nặng, đầu máy xe lửa trật đường ray. Tai nạn xảy ra vào 22h30' ngày 1/7 khiến nhiều đoàn tàu bị đình trệ. 
 Đến 7h30 ngày 2/7, giao thông trên đường sắt xuyên Việt mới trở lại bình thường. 
 Theo ông Nguyễn Đình Tân, Giám đốc Xí nghiệp vận tải đường sắt Phú Khánh, nguyên nhân tai nạn do xe tải chở vật liệu nặng băng qua đường sắt nhưng không vượt qua được và nằm chắn ngang trên đường ray. Tài xế xe tải đã bỏ trốn. 
 Tại ga Đà Nẵng, lúc 10h ngày 2/7 nhà ga mới thông báo về sự kiện này khiến hơn 500 hành khách đi trên 7 chuyến tàu E, S đã mua vé từ Đà Nẵng đi ra phía bắc rất bực mình vì phải đợi tàu nhiều giờ, nhất là hàng trăm thí sinh cùng người nhà đi thi đại học tại Vinh và Hà Nội. 
  
 ",Chinhtrixahoi
" Thu hồi nhà, đất tại 30-32 Hàm Nghi và 22-24-26 Mạc Thị Bưởi (TPHCM) (NLĐ) - Ngày 2-2, Văn phòng Chính phủ có công văn số 613/VPCP-CV truyền đạt ý kiến của Phó Thủ tướng Nguyễn Tấn Dũng.Theo đó, Phó Thủ tướng yêu cầu các Bộ Tài chính, Thủy sản, UBND TPHCM, Ngân hàng Phát triển nhà đồng bằng sông Cửu Long và các cơ quan liên quan khẩn trương thực hiện chỉ đạo của Thủ tướng tại Quyết định 243/QĐ-TTg ngày 4-3-2003 về việc thu hồi cơ sở nhà và đất tại số nhà 30-32 Hàm Nghi và số 22-24-26 Mạc Thị Bưởi, quận 1 - TPHCM để giao cho các đơn vị quản lý, sử dụng. 
  
 ",Chinhtrixahoi
"Theo hướng dẫn của Bộ GD-ĐT, từ ngày 10.3 đến 10.4.2006, học sinh đang học lớp 12 có thể khai và nộp hồ sơ đăng ký dự thi (ĐKDT) tại trường của mình theo học; thí sinh tự do nộp tại địa điểm do các Sở GD-ĐT quy định.  
 Nếu thí sinh chưa nộp kịp theo tuyến do các Sở GD-ĐT quy định thì vẫn còn cơ hội: từ ngày 11.4 đến 17.4, thí sinh (kể cả thí sinh tự do và học sinh đang học tại các trường THPT) có thể nộp hồ sơ ĐKDT trực tiếp tại trường sẽ dự thi (không được nộp qua đường bưu điện). Như vậy 17.4.2006 mới là thời hạn cuối cùng để nộp hồ sơ ĐKDT. Các bạn còn nhiều thời gian để chuẩn bị cho việc nộp hồ sơ ĐKDT của mình. Thông qua những câu hỏi các bạn gửi về Báo Thanh Niên những ngày gần đây liên quan đến việc này, chúng tôi xin lưu ý một số vấn đề quan trọng trong thời điểm này. 
 Đang ôn thi ở TP.HCM, không có điều kiện về quê làm hồ sơ thì có thể xin xác nhận của trung tâm luyện thi mà không cần chứng nhận của xã, phường nơi đăng ký hộ khẩu thường trú được không? 
 - Còn hơn một tháng nữa mới hết hạn ĐKDT, nếu không có điều kiện để tự mình về địa phương xác nhận, bạn nên gửi hồ sơ (nên bằng bưu điện phát chuyển nhanh) để nhờ những người thân của mình ở địa phương xác nhận giúp. Thời gian còn dài, bạn không nên lập luận ""không có điều kiện về địa phương làm hồ sơ"" vì nếu hồ sơ của bạn không có xác nhận của địa phương thì sẽ không được chấp nhận. Có thể một số trường ĐH-CĐ linh động việc này (để cho một số trung tâm luyện thi xác nhận...) nhưng về nguyên tắc là không được, bạn không nên ""đánh cược"" như thế. Hãy gửi hồ sơ nhờ người thân xác nhận giúp! 
 Tôi có hộ khẩu thường trú tại Phú Yên, thi hỏng ĐH năm ngoái và hiện đang luyện thi ở TP.HCM. Tôi muốn nộp hồ sơ ĐKDT tại TP.HCM có được không và nếu được thì nộp ở đâu? Trường hợp mất chứng minh nhân dân (CMND) có được dự thi không? 
 - Bạn có thể nộp hồ sơ đăng ký dự thi tại các điểm sau đây: 1) Điểm thu nhận hồ sơ do Sở GD-ĐT TP.HCM quy định tại số 47 đường Lý Tự Trọng, Q.1; 2) Điểm thu nhận thuộc Văn phòng đại diện Bộ GD-ĐT tại TP.HCM ((góc đường Võ Văn Tần - Phạm Ngọc Thạch, Q.3); 3) Nộp trực tiếp tại trường bạn dự định thi. Trường hợp bị mất CMND, bạn phải về địa phương để xin làm lại vì theo quy định, các giấy tờ phải đem theo vào phòng thi có CMND (để trình cho cán bộ coi thi), giấy báo dự thi, bằng tốt nghiệp THPT hoặc tương đương (đối với thí sinh tốt nghiệp từ năm 2005 về trước) hoặc giấy chứng nhận tốt nghiệp tạm thời (đối với thí sinh tốt nghiệp năm 2006), giấy chứng nhận sơ tuyển (nếu thi vào các ngành có yêu cầu sơ tuyển).  
 Cách ghi mục 2 và mục 3 mẫu hồ sơ ĐKDT năm 2006? 
 Học sinh tỉnh Bình Thuận tìm hiểu thông tin tuyển sinh của các trường ĐH-CĐ. Ảnh: N.Q- Mục 2 là mục để ghi tên trường có tổ chức thi, nơi bạn sẽ đến ngồi dự thi. Mục 3 để ghi tên trường không tổ chức thi mà bạn có nguyện vọng theo học (chú ý rằng khối thi ở mục 2 và mục 3 phải giống nhau). Có hai khái niệm cần phân biệt: trường bạn chọn đăng ký nguyện vọng 1 (NV1) và trường ngồi dự thi. Bạn có thể truy cập mạng internet, vào ""Cổng thông tin thi và tuyển sinh"" theo địa chỉ http://ts.edu.net.vn để tiến hành tập dượt ghi mục 2 và mục 3 như sau: 1) Tra cứu xem trường NV1 là trường có tổ chức thi hay không (tra danh sách); 2) Nếu trường NV1 có tổ chức thi (tức không có trong danh sách nói trên) thì: Hãy điền đầy đủ vào mục số 2, không điền gì vào mục số 3; 3) Nếu trường chọn làm NV1 không tổ chức thi: Hãy điền đầy đủ NV1 vào mục số 3, sau đó chọn một trường cùng khối thi, điền vào mục số 2 (không cần điền mã ngành ở mục số 2 này). Trường ở mục số 2 là nơi thí sinh sẽ ngồi dự thi nhờ để lấy điểm; 4) Nhớ photocopy một bản phiếu ĐKDT để Ban tuyển sinh gửi cho trường mà mình chọn làm NV1. 
 Bạn cần lưu ý: nếu có NV1 học tại trường ĐH-CĐ không tổ chức thi hoặc hệ CĐ của trường CĐ thì phải nộp hồ sơ, lệ phí ĐKDT và đến ngồi dự thi tại một trường ĐH tổ chức thi có cùng khối thi để để lấy kết quả tham gia xét tuyển vào trường có NV1. Khi nộp hồ sơ và lệ phí ĐKDT, thí sinh cần đồng thời nộp bản photocopy mặt trước tờ phiếu ĐKDT số 1. 
 Do sơ suất trong khi ghi hồ sơ ĐKDT hoặc do nhân viên máy tính nhập dữ liệu sai nên giấy báo dự thi của tôi có một số chi tiết không đúng. Làm thế nào để điều chỉnh? 
 - Thí sinh sẽ được nhận giấy báo dự thi vào tuần đầu của tháng 6 tại nơi đã nộp hồ sơ và lệ phí ĐKDT. Nếu phát hiện có sai sót, bạn cần thông báo cho hội đồng tuyển sinh trường điều chỉnh. Bạn cũng phải có mặt lúc 8 giờ ngày 3.7 (đối với thí sinh khối A và V) hoặc 8 giờ ngày 8.7 (đối với thí sinh khối B, C, D, T, N, H, M, R, K) để làm thủ tục dự thi. Nếu giấy báo dự thi của bạn vẫn còn sai sót thì yêu cầu cán bộ của trường điều chỉnh, ghi xác nhận và ký tên vào phiếu số 2.  
  
 ",Chinhtrixahoi
"Chuẩn bị lựa chọn doanh nghiệp FDI cổ phần hoá 
 Liên bộ Tài chính - Kế hoạch và Đầu tư vừa ban hành thông tư hướng dẫn thực hiệncổ phần hoádoanh nghiệp có vốn đầu tư nước ngoài (FDI). Theo đó, những đơn vị muốn chuyển đổi phải gửi hồ sơ trước ngày 25/3 để được lựa chọn, việc xem xét sẽ được thực hiện xong trước ngày 25/5. 
 ""Hiện chúng tôi đang nhận được 30 hồ sơ xin chuyển đổi của các doanh nghiệp FDI, những đơn vị này sẽ được lựa chọn để có thể đưa ra khoảng 25 đơn vị nhằm tiến hành thí điểm"", ông Phan Hữu Thắng, Cục trưởng Đầu tư nước ngoài (Bộ Kế hoạch và Đầu tư), cho biết.  
 Việc xác định giá trị doanh nghiệp và phần vốn của chủ đầu tư là toàn bộ tài sản hiện có và đã được kiểm toán độc lập trong vòng 6 tháng trước thời điểm nộp hồ sơ. Trường hợp liên doanh mà phía VN là doanh nghiệp nhà nước góp vốn bằng quyền sử dụng đất thì việc xác định giá trị sẽ theo hướng dẫn của Bộ Tài chính. Ngoài ra, trong khoảng thời gian tính từ ngày báo cáo tài chính đã được kiểm toán đến ngày giấy phép đầu tư điều chỉnh có hiệu lực, có phát sinh các khoản lỗ, lãi làm ảnh hưởng đến giá trị doanh nghiệp thì các công ty này sẽ được điều chỉnh tương ứng với các khoản phát sinh đó. 
 ""Để sát với thực tế, giá trị doanh nghiệp trước khi tiến hành chuyển đổi hình thức hoạt động có thể được tính toán dựa trên yếu tố thị trường"", ông Thắng cho biết. 
 Theo quy định, những doanh nghiệp FDI không được cổ phần hóa gồm các đơn vị đã cam kết chuyển giao không bồi hoàn tài sản cho phía VN; doanh nghiệp đầu tư theo hình thức BT, BOT, BTO; công ty có vốn đầu tư quy định tại giấy phép đầu tư trên 70 triệu USD và dưới 1 triệu USD; những đơn vị hoạt động trong các lĩnh vực kinh doanh hạ tầng các khu: công nghiệp, chế xuất, đô thị mới, xây nhà để bán hoặc cho thuê thu tiền trước... 
  
 ",Khac
"Lùi thời điểm tăng giá nước sinh hoạt 
 Ông Hà Văn Dũng, Giám đốc Sở Giao thông công chính TP HCM vừa cho biết, đã cùng các sở ngành có liên quan đề nghị UBND thành phố chưa tăng giá nước sinh hoạt từ đầu tháng 3 như kế hoạch. Theo đó, thời điểm tăng giá có thể được bắt đầu từ ngày 1/6. 
 Theo Sở Giao thông công chính, hiện tại nhiều mặt hàng đang tăng cao, vì vậy không thể buộc người dân cùng lúc phải chịu quá nhiều áp lực về giá cả. Hơn nữa, đây cũng là thời điểm chuẩn bị bầu cử hội đồng nhân dân 3 cấp nên hoãn lại sẽ thích hợp hơn. 
 Về dự án nước sông Sài Gòn giai đoạn 2 nhằm cung cấp thêm 3.000 m3 nước cho thành phố vẫn chưa được triển khai. Nguồn vốn thực hiện giai đoạn này hơn 600 tỷ đồng (tổng mức đầu tư cho dự án trên 1.000 tỷ đồng) nhưng vẫn chưa được giải ngân mặc dù nhà thầu nước ngoài đã được cấp phép. Tuy nhiên, ông Dũng cũng đề nghị thành phố xem xét lại vì giá thầu quá cao (trên 100 triệu USD), trong khi nhà thầu trong nước có thể đảm nhiệm trong vòng 14 tháng với giá thấp hơn. 
  
 ",Chinhtrixahoi
"Sắm đồ mùa hè cho con 
 Cùng với quần áo, thì giày dép, nón mũ cũng là những thứ chưng diện không kém phần quan trọng mà mỗi ông bố bà mẹ đều không thể quên khi muốn sắm cho con. Khởi đầu mùa hè, trên thị trường có nhiều mẫu mã và kiểu dáng lạ, đẹp. 
 Tại các phố Hàng Ngang, Hàng Đào, lượng hàng quần áo trẻ em tập trung về nhiều hơn mọi năm. Các mẫu cũng cầu kỳ hơn, chất liệu thoáng mát, đẹp và đa dạng hơn nhưng giá cả không thay đổi nhiều.  
 Chất liệu may quần áo trẻ em hầu hết là làm bằng thun cotton và vải cotton 100%. Mầu sắc đa dạng, vừa mềm mịn, thông thoáng, đảm bảo tính an toàn trong việc giữ gìn vệ sinh thân thể, khi vào mùa hè oi bức. Các loại quần, áo, váy có bày bán tại các chợ có giá 35.000-45.000 đồng/bộ, áo bán lẻ: 8.000-15.000 đồng/áo; quần đùi 4.000-8.000 đồng/chiếc. 
 Các bà mẹ thường có xu hướng mua quần áo cho con mình tại các hiệu thời trang trong nước có uy tín như: Legamex, Việt Thắng, Thành Công, Wow, Việt Thy& Thông thường, một bộ quần áo chất liệu cotton xốp, cotton pha sợi, katê, papelela với các hình trang trí ngộ nghĩnh có giá 25.000-70.000 đồng/bộ& Các nhà may tư nhân có tên tuổi như Anh Thư, Đan Lập, Tân Đức& cũng khẳng định thương hiệu của mình qua hàng loạt mẫu mã quần áo mới với giá 45.000-75.000 đồng/bộ. Nếu thích ""sành điệu"", các bà mẹ, ông bố có thể đưa con mình vào các shop quần áo như New Kids (Bà Triệu). Chất liệu và kiểu dáng đều thuộc loại độc. Tuy nhiên, giá cả thì phải gấp 3-4 lần bộ quần áo thông thường. 
 Giày dép cho trẻ em năm nay cũng đa dạng hơn, và hầu hết là hàng ngoại nhập (chủ yếu từ Trung Quốc). Giày cho trẻ tập đi bằng các chất liệu nỉ, jean, bố mềm mại không làm cho bé đau chân giá 5.000-15.000 đồng/đôi. Giày cho trẻ em biết đi thường được các bậc phụ huynh tìm tới các nhãn hiệu Bitis, Bitas với hai kiểu cổ điển là xăng đan, và giầy thể thao. Giá giày dép dao động 25.000-50.000 đồng/đôi. Hàng ngoại đắt hơn: 120.000-200.000 đồng/đôi. Các loại giày cho bé gái nhiều mầu sắc giá 100.000-180.000 đồng/đôi. 
 Các kiểu mũ của bé cũng có đủ kích cỡ và mầu sắc. Giá từ 7.000 đến 30.000 đồng/cái. Các loại khăn đội đầu dành riêng cho bé gái làm duyên với giá 15.000-30.000 đồng/cái. Kính che bụi, không chỉ bảo vệ ánh mắt non nớt của các bé mà còn là một trong những phụ kiện thời trang đi kèm có giá trung bình từ 50.000 đến 100.000 đồng/đôi. 
  
 ",Khac
