Timestamp,n-transactions-excluding-popular
2009-01-03 00:00:00,2
2009-01-06 00:00:00,0
2009-01-09 00:00:00,14
2009-01-12 00:00:00,101
2009-01-15 00:00:00,134
2009-01-18 00:00:00,108
2009-01-21 00:00:00,105
2009-01-24 00:00:00,202
2009-01-27 00:00:00,98
2009-01-30 00:00:00,117
2009-02-02 00:00:00,129
2009-02-05 00:00:00,126
2009-02-08 00:00:00,133
2009-02-11 00:00:00,135
2009-02-14 00:00:00,136
2009-02-17 00:00:00,117
2009-02-20 00:00:00,122
2009-02-23 00:00:00,108
2009-02-26 00:00:00,107
2009-03-01 00:00:00,105
2009-03-04 00:00:00,106
2009-03-07 00:00:00,109
2009-03-10 00:00:00,107
2009-03-13 00:00:00,114
2009-03-16 00:00:00,122
2009-03-19 00:00:00,122
2009-03-22 00:00:00,120
2009-03-25 00:00:00,117
2009-03-28 00:00:00,122
2009-03-31 00:00:00,111
2009-04-03 00:00:00,116
2009-04-06 00:00:00,109
2009-04-09 00:00:00,99
2009-04-12 00:00:00,120
2009-04-15 00:00:00,113
2009-04-18 00:00:00,130
2009-04-21 00:00:00,124
2009-04-24 00:00:00,115
2009-04-27 00:00:00,104
2009-04-30 00:00:00,131
2009-05-03 00:00:00,109
2009-05-06 00:00:00,135
2009-05-09 00:00:00,77
2009-05-12 00:00:00,130
2009-05-15 00:00:00,137
2009-05-18 00:00:00,118
2009-05-21 00:00:00,82
2009-05-24 00:00:00,100
2009-05-27 00:00:00,119
2009-05-30 00:00:00,109
2009-06-02 00:00:00,110
2009-06-05 00:00:00,31
2009-06-08 00:00:00,82
2009-06-11 00:00:00,89
2009-06-14 00:00:00,72
2009-06-17 00:00:00,79
2009-06-20 00:00:00,78
2009-06-23 00:00:00,76
2009-06-26 00:00:00,90
2009-06-29 00:00:00,84
2009-07-02 00:00:00,84
2009-07-05 00:00:00,79
2009-07-08 00:00:00,74
2009-07-11 00:00:00,83
2009-07-14 00:00:00,69
2009-07-17 00:00:00,48
2009-07-20 00:00:00,71
2009-07-23 00:00:00,75
2009-07-26 00:00:00,20
2009-07-29 00:00:00,21
2009-08-01 00:00:00,28
2009-08-04 00:00:00,81
2009-08-07 00:00:00,81
2009-08-10 00:00:00,75
2009-08-13 00:00:00,85
2009-08-16 00:00:00,20
2009-08-19 00:00:00,18
2009-08-22 00:00:00,7
2009-08-25 00:00:00,51
2009-08-28 00:00:00,75
2009-08-31 00:00:00,87
2009-09-03 00:00:00,62
2009-09-06 00:00:00,68
2009-09-09 00:00:00,54
2009-09-12 00:00:00,69
2009-09-15 00:00:00,45
2009-09-18 00:00:00,78
2009-09-21 00:00:00,70
2009-09-24 00:00:00,97
2009-09-27 00:00:00,88
2009-09-30 00:00:00,85
2009-10-03 00:00:00,58
2009-10-06 00:00:00,46
2009-10-09 00:00:00,77
2009-10-12 00:00:00,59
2009-10-15 00:00:00,71
2009-10-18 00:00:00,75
2009-10-21 00:00:00,81
2009-10-24 00:00:00,63
2009-10-27 00:00:00,65
2009-10-30 00:00:00,60
2009-11-02 00:00:00,33
2009-11-05 00:00:00,58
2009-11-08 00:00:00,73
2009-11-11 00:00:00,73
2009-11-14 00:00:00,79
2009-11-17 00:00:00,92
2009-11-20 00:00:00,86
2009-11-23 00:00:00,96
2009-11-26 00:00:00,84
2009-11-29 00:00:00,60
2009-12-02 00:00:00,94
2009-12-05 00:00:00,65
2009-12-08 00:00:00,107
2009-12-11 00:00:00,112
2009-12-14 00:00:00,107
2009-12-17 00:00:00,172
2009-12-20 00:00:00,175
2009-12-23 00:00:00,154
2009-12-26 00:00:00,174
2009-12-29 00:00:00,171
2010-01-01 00:00:00,133
2010-01-04 00:00:00,183
2010-01-07 00:00:00,154
2010-01-10 00:00:00,190
2010-01-13 00:00:00,166
2010-01-16 00:00:00,126
2010-01-19 00:00:00,124
2010-01-22 00:00:00,136
2010-01-25 00:00:00,215
2010-01-28 00:00:00,179
2010-01-31 00:00:00,167
2010-02-03 00:00:00,272
2010-02-06 00:00:00,206
2010-02-09 00:00:00,210
2010-02-12 00:00:00,188
2010-02-15 00:00:00,185
2010-02-18 00:00:00,215
2010-02-21 00:00:00,227
2010-02-24 00:00:00,177
2010-02-27 00:00:00,175
2010-03-02 00:00:00,193
2010-03-05 00:00:00,173
2010-03-08 00:00:00,130
2010-03-11 00:00:00,136
2010-03-14 00:00:00,127
2010-03-17 00:00:00,139
2010-03-20 00:00:00,204
2010-03-23 00:00:00,220
2010-03-26 00:00:00,213
2010-03-29 00:00:00,207
2010-04-01 00:00:00,179
2010-04-04 00:00:00,183
2010-04-07 00:00:00,204
2010-04-10 00:00:00,298
2010-04-13 00:00:00,209
2010-04-16 00:00:00,234
2010-04-19 00:00:00,276
2010-04-22 00:00:00,199
2010-04-25 00:00:00,205
2010-04-28 00:00:00,227
2010-05-01 00:00:00,210
2010-05-04 00:00:00,177
2010-05-07 00:00:00,158
2010-05-10 00:00:00,157
2010-05-13 00:00:00,167
2010-05-16 00:00:00,134
2010-05-19 00:00:00,207
2010-05-22 00:00:00,226
2010-05-25 00:00:00,254
2010-05-28 00:00:00,277
2010-05-31 00:00:00,194
2010-06-03 00:00:00,235
2010-06-06 00:00:00,200
2010-06-09 00:00:00,220
2010-06-12 00:00:00,213
2010-06-15 00:00:00,269
2010-06-18 00:00:00,193
2010-06-21 00:00:00,242
2010-06-24 00:00:00,240
2010-06-27 00:00:00,234
2010-06-30 00:00:00,273
2010-07-03 00:00:00,286
2010-07-06 00:00:00,209
2010-07-09 00:00:00,268
2010-07-12 00:00:00,2300
2010-07-15 00:00:00,1329
2010-07-18 00:00:00,420
2010-07-21 00:00:00,463
2010-07-24 00:00:00,894
2010-07-27 00:00:00,426
2010-07-30 00:00:00,325
2010-08-02 00:00:00,398
2010-08-05 00:00:00,515
2010-08-08 00:00:00,391
2010-08-11 00:00:00,412
2010-08-14 00:00:00,434
2010-08-17 00:00:00,318
2010-08-20 00:00:00,423
2010-08-23 00:00:00,369
2010-08-26 00:00:00,368
2010-08-29 00:00:00,260
2010-09-01 00:00:00,380
2010-09-04 00:00:00,274
2010-09-07 00:00:00,282
2010-09-10 00:00:00,360
2010-09-13 00:00:00,436
2010-09-16 00:00:00,438
2010-09-19 00:00:00,355
2010-09-22 00:00:00,673
2010-09-25 00:00:00,532
2010-09-28 00:00:00,491
2010-10-01 00:00:00,584
2010-10-04 00:00:00,407
2010-10-07 00:00:00,340
2010-10-10 00:00:00,363
2010-10-13 00:00:00,364
2010-10-16 00:00:00,441
2010-10-19 00:00:00,924
2010-10-22 00:00:00,602
2010-10-25 00:00:00,410
2010-10-28 00:00:00,486
2010-10-31 00:00:00,307
2010-11-03 00:00:00,347
2010-11-06 00:00:00,394
2010-11-09 00:00:00,409
2010-11-12 00:00:00,286
2010-11-15 00:00:00,4871
2010-11-18 00:00:00,1494
2010-11-21 00:00:00,10044
2010-11-24 00:00:00,3936
2010-11-27 00:00:00,445
2010-11-30 00:00:00,454
2010-12-03 00:00:00,384
2010-12-06 00:00:00,465
2010-12-09 00:00:00,486
2010-12-12 00:00:00,643
2010-12-15 00:00:00,658
2010-12-18 00:00:00,499
2010-12-21 00:00:00,630
2010-12-24 00:00:00,531
2010-12-27 00:00:00,526
2010-12-30 00:00:00,593
2011-01-02 00:00:00,569
2011-01-05 00:00:00,1310
2011-01-08 00:00:00,1436
2011-01-11 00:00:00,1362
2011-01-14 00:00:00,1262
2011-01-17 00:00:00,830
2011-01-20 00:00:00,924
2011-01-23 00:00:00,1081
2011-01-26 00:00:00,1005
2011-01-29 00:00:00,1347
2011-02-01 00:00:00,1013
2011-02-04 00:00:00,954
2011-02-07 00:00:00,892
2011-02-10 00:00:00,2034
2011-02-13 00:00:00,1822
2011-02-16 00:00:00,2090
2011-02-19 00:00:00,1583
2011-02-22 00:00:00,2196
2011-02-25 00:00:00,2060
2011-02-28 00:00:00,1720
2011-03-03 00:00:00,3204
2011-03-06 00:00:00,2031
2011-03-09 00:00:00,1834
2011-03-12 00:00:00,2956
2011-03-15 00:00:00,2854
2011-03-18 00:00:00,2371
2011-03-21 00:00:00,5855
2011-03-24 00:00:00,2164
2011-03-27 00:00:00,2463
2011-03-30 00:00:00,1756
2011-04-02 00:00:00,1772
2011-04-05 00:00:00,2119
2011-04-08 00:00:00,1767
2011-04-11 00:00:00,1943
2011-04-14 00:00:00,2881
2011-04-17 00:00:00,2257
2011-04-20 00:00:00,2969
2011-04-23 00:00:00,2310
2011-04-26 00:00:00,3455
2011-04-29 00:00:00,3534
2011-05-02 00:00:00,3095
2011-05-05 00:00:00,3464
2011-05-08 00:00:00,2898
2011-05-11 00:00:00,3090
2011-05-14 00:00:00,4414
2011-05-17 00:00:00,4464
2011-05-20 00:00:00,4795
2011-05-23 00:00:00,5745
2011-05-26 00:00:00,6967
2011-05-29 00:00:00,4753
2011-06-01 00:00:00,6540
2011-06-04 00:00:00,8811
2011-06-07 00:00:00,9002
2011-06-10 00:00:00,11269
2011-06-13 00:00:00,11246
2011-06-16 00:00:00,12746
2011-06-19 00:00:00,11472
2011-06-22 00:00:00,11519
2011-06-25 00:00:00,9693
2011-06-28 00:00:00,10719
2011-07-01 00:00:00,10603
2011-07-04 00:00:00,9604
2011-07-07 00:00:00,9180
2011-07-10 00:00:00,8392
2011-07-13 00:00:00,9193
2011-07-16 00:00:00,8726
2011-07-19 00:00:00,9185
2011-07-22 00:00:00,8991
2011-07-25 00:00:00,9485
2011-07-28 00:00:00,8119
2011-07-31 00:00:00,8099
2011-08-03 00:00:00,7737
2011-08-06 00:00:00,6834
2011-08-09 00:00:00,9219
2011-08-12 00:00:00,7165
2011-08-15 00:00:00,8379
2011-08-18 00:00:00,7415
2011-08-21 00:00:00,7667
2011-08-24 00:00:00,7367
2011-08-27 00:00:00,6361
2011-08-30 00:00:00,7804
2011-09-02 00:00:00,7026
2011-09-05 00:00:00,7039
2011-09-08 00:00:00,6497
2011-09-11 00:00:00,6443
2011-09-14 00:00:00,6200
2011-09-17 00:00:00,5454
2011-09-20 00:00:00,8145
2011-09-23 00:00:00,6328
2011-09-26 00:00:00,5639
2011-09-29 00:00:00,5589
2011-10-02 00:00:00,5035
2011-10-05 00:00:00,5771
2011-10-08 00:00:00,5402
2011-10-11 00:00:00,5930
2011-10-14 00:00:00,6111
2011-10-17 00:00:00,5781
2011-10-20 00:00:00,4649
2011-10-23 00:00:00,5608
2011-10-26 00:00:00,5272
2011-10-29 00:00:00,5698
2011-11-01 00:00:00,5777
2011-11-04 00:00:00,6540
2011-11-07 00:00:00,5496
