Timestamp,n-unique-addresses
2009-01-03 00:00:00,2
2009-01-11 00:00:00,93
2009-01-14 00:00:00,130
2009-01-17 00:00:00,109
2009-01-20 00:00:00,115
2009-01-23 00:00:00,86
2009-01-26 00:00:00,97
2009-01-29 00:00:00,122
2009-02-01 00:00:00,114
2009-02-04 00:00:00,119
2009-02-07 00:00:00,134
2009-02-10 00:00:00,120
2009-02-14 00:00:00,136
2009-02-17 00:00:00,117
2009-02-20 00:00:00,122
2009-02-23 00:00:00,108
2009-02-26 00:00:00,107
2009-03-01 00:00:00,105
2009-03-04 00:00:00,106
2009-03-07 00:00:00,109
2009-03-10 00:00:00,107
2009-03-14 00:00:00,110
2009-03-17 00:00:00,114
2009-03-20 00:00:00,119
2009-03-23 00:00:00,130
2009-03-26 00:00:00,118
2009-03-29 00:00:00,116
2009-04-01 00:00:00,114
2009-04-04 00:00:00,113
2009-04-07 00:00:00,100
2009-04-10 00:00:00,108
2009-04-13 00:00:00,117
2009-04-16 00:00:00,123
2009-04-19 00:00:00,120
2009-04-22 00:00:00,121
2009-04-25 00:00:00,118
2009-04-28 00:00:00,117
2009-05-01 00:00:00,121
2009-05-04 00:00:00,129
2009-05-07 00:00:00,122
2009-05-10 00:00:00,85
2009-05-13 00:00:00,116
2009-05-16 00:00:00,119
2009-05-19 00:00:00,86
2009-05-22 00:00:00,62
2009-05-25 00:00:00,109
2009-05-28 00:00:00,95
2009-05-31 00:00:00,97
2009-06-03 00:00:00,72
2009-06-07 00:00:00,16
2009-06-10 00:00:00,82
2009-06-13 00:00:00,78
2009-06-16 00:00:00,71
2009-06-19 00:00:00,87
2009-06-22 00:00:00,77
2009-06-25 00:00:00,69
2009-06-28 00:00:00,48
2009-07-01 00:00:00,75
2009-07-05 00:00:00,79
2009-07-08 00:00:00,74
2009-07-11 00:00:00,83
2009-07-14 00:00:00,69
2009-07-17 00:00:00,48
2009-07-20 00:00:00,72
2009-07-23 00:00:00,75
2009-07-26 00:00:00,20
2009-07-29 00:00:00,21
2009-08-01 00:00:00,28
2009-08-04 00:00:00,81
2009-08-07 00:00:00,82
2009-08-10 00:00:00,75
2009-08-13 00:00:00,85
2009-08-16 00:00:00,20
2009-08-19 00:00:00,18
2009-08-22 00:00:00,7
2009-08-25 00:00:00,51
2009-08-28 00:00:00,75
2009-08-31 00:00:00,87
2009-09-03 00:00:00,62
2009-09-06 00:00:00,68
2009-09-09 00:00:00,54
2009-09-12 00:00:00,69
2009-09-15 00:00:00,45
2009-09-18 00:00:00,78
2009-09-21 00:00:00,70
2009-09-24 00:00:00,97
2009-09-27 00:00:00,88
2009-09-30 00:00:00,85
2009-10-03 00:00:00,58
2009-10-06 00:00:00,45
2009-10-09 00:00:00,77
2009-10-12 00:00:00,59
2009-10-15 00:00:00,71
2009-10-18 00:00:00,75
2009-10-21 00:00:00,81
2009-10-24 00:00:00,63
2009-10-27 00:00:00,65
2009-10-30 00:00:00,60
2009-11-02 00:00:00,33
2009-11-05 00:00:00,58
2009-11-08 00:00:00,73
2009-11-11 00:00:00,66
2009-11-14 00:00:00,79
2009-11-17 00:00:00,92
2009-11-20 00:00:00,86
2009-11-23 00:00:00,96
2009-11-26 00:00:00,84
2009-11-29 00:00:00,60
2009-12-02 00:00:00,94
